City,Average Time Difference COD False,Average Time Difference COD True,Difference,Winner
Kanchipuram,5.248,10.986,5.738,Online!
Pune,4.568,7.418,2.85,Online!
North 24 Parganas,4.323,6.836,2.513,Online!
Thane,4.524,6.496,1.972,Online!
Hyderabad,4.482,6.149,1.667,Online!
Jaipur,2.242,3.598,1.356,Online!
Gautam Buddha Nagar,2.293,3.62,1.327,Online!
Ghaziabad,1.78,2.843,1.063,Online!
Gurgaon,2.312,3.349,1.037,Online!
North West Delhi,3.782,2.792,0.99,At the door!
Kolkata,5.255,4.286,0.969,At the door!
North Delhi,2.056,2.898,0.842,Online!
Chennai,4.935,5.721,0.786,Online!
South Delhi,1.971,2.748,0.777,Online!
Bangalore,5.273,5.979,0.706,Online!
West Delhi,5.403,4.76,0.643,At the door!
Mumbai,4.536,5.068,0.532,Online!
Tiruvallur,6.58,6.06,0.52,At the door!
Lucknow,3.209,3.691,0.482,Online!
K.V.Rangareddy,4.933,5.395,0.462,Online!
East Delhi,2.748,2.345,0.403,At the door!
South West Delhi,2.306,2.216,0.09,At the door!
Ernakulam,7.506,7.494,0.012,At the door!
